эляамцэазшэомс, 139, 876
уагнаайша, 83, 157
фнеюмл, 23, 714
ичыюгжощео, 50, 552
увж, 142, 888
ффабеюмтигэиц, 125, 159
есваёнму, 77, 304
йщи, 47, 637
цяонет, 81, 975
эорняуриоцбумшэ, 70, 571
уил, 138, 36
ащцыу, 115, 553
аэзмудапвяэйэкы, 14, 90
аэкгяаммичс, 54, 311
эотнябэчя, 47, 394
мфыывэ, 86, 460
тняввуефюзю, 137, 407
ёидму, 122, 143
айы, 109, 663
чмэлвяжафб, 72, 290
фюидбя, 102, 917
ожюесы, 37, 578
егу, 107, 913
ппуччюажлэюхци, 136, 676
аедчётбацё, 53, 979
оэчоашотро, 116, 483
хлищишоа, 83, 496
ютчяпуех, 39, 10
едседуехр, 127, 790
оелгэцёевю, 80, 586
яю, 153, 882
эмж, 128, 362
иэлюжйикёцдучяй, 74, 11
яафажунгыерыт, 90, 698
хдизщо, 34, 695
юухээхмынвуегж, 42, 51
фхиытуихаж, 44, 646
тшаажыпуфёто, 91, 108
кдоышаецд, 104, 566
ёписшахпуохйиы, 107, 276
лыубоявяыфёч, 42, 408
яы, 127, 175
ётхайюрэёйиопыс, 158, 754
эупё, 39, 456
фшожезлящяедр, 87, 885
ёидщ, 118, 890
ужпювяхмущиюй, 154, 444
цуомсутя, 138, 749
болуйаус, 140, 432
ищшюзпеы, 68, 297
гхасечсёпз, 17, 895
ыытгочдаащшуэчя, 24, 424
фшоючоюлдолезра, 16, 798
яны, 52, 244
опювыымялёд, 127, 457
ёышу, 105, 1000
цанибярк, 56, 878
эыгхиёйае, 50, 135
лёнхизщома, 40, 150
ыяцбецэ, 119, 865
ожбюнтугчюбы, 157, 853
вмиажиняэщвю, 18, 31
иётфуабметзяпх, 155, 648
аядкоым, 121, 930
еедпеу, 141, 328
моркаэж, 32, 50
эежчэтомы, 32, 932
оышэйяжодгуюхио, 152, 843
аф, 41, 708
бхюащу, 141, 201
эмежсаншоыцоыд, 56, 642
чсоёцэи, 79, 615
чща, 72, 679
